phrase,tsne_0,tsne_1,label
cholesky decomposition,-0.2255784031342812,6.442490202210861,cs
classic ad hoc,-4.049821714659184,-1.0578938800536555,cs
classical backpropagation rule,-0.13406276864518224,0.9213424762864204,cs
classical computer,2.353229503239875,0.1105456202134752,cs
classification accuracy,-3.014599019878822,-2.279144421635614,cs
classification algorithms,4.037684444815457,-0.26933957057752683,cs
classification criteria,-1.2511469498599683,-0.8588418363382208,cs
classification problem,-0.04716422014971005,4.90494029641192,cs
classification tasks,1.0813343959877773,-0.4545878142303908,cs
clique trees,0.3518280243317777,-0.563101665309127,cs
clock cycle,2.2174446863947863,0.28476894961696114,cs
clustering algorithms,5.103768100273407,0.14240033306719735,cs
code libraries,6.912916985778892,-0.28249427281927963,cs
code stylometry,4.685013608862192,0.37892103308318387,cs
coding theory,4.722117607843721,-1.2060617931483235,cs
cognitive architecture,4.3715493588080605,-3.0165336275733567,cs
cognitive architectures,4.56761635132834,-3.1678199661935023,cs
cognitive dimensions,1.2421034575004053,-2.38473277216459,cs
cognitive modeling,4.070727356387635,-2.9756231465820377,cs
cognitive robotics,5.752045645628477,-1.9304480375420343,cs
cognitive science,4.875667322011335,-2.297879409910574,cs
cognitive theories,3.2587861743330673,-2.5106524519822355,cs
combinatorial game theory,4.916732376832702,0.13842465145921032,cs
communications network,0.5002822932632172,-2.9222495292687496,cs
comparison sort,-1.2100663887202432,-0.2391889201923574,cs
comparison sorting algorithms,5.5270563120473595,0.2175342016387643,cs
comparison sorts,-1.6334325880303635,-1.3479409118441386,cs
compilation error,-0.0009833676730378546,8.672375741679303,cs
compilation errors,0.12772404420894012,8.134886114640787,cs
compiler correctness,0.2618738813878188,-3.0695493901587105,cs
compiler design,8.692386790646909,-0.5424239976707234,cs
compiler optimization,7.295929055581342,-1.1274586900122339,cs
compiler optimization technique,7.995427308097496,-0.9285285011284092,cs
compiler theory,6.58727268355413,-0.6560428839683168,cs
complex functions,-1.5447338875894177,1.3275384059180246,cs
complex vector spaces,1.6540009574870804,0.49066325922332343,cs
complexity theory,3.5106430203998,2.0655259680568814,cs
composition filters,1.136280080269064,1.3906563962373129,cs
compound logic gates,3.610745625543144,2.5988015652485914,cs
compressed data,-0.7378113045634587,3.354532381323055,cs
computation time,1.5008760204542826,-2.1606322625343957,cs
computational complexity theory,7.599025289568598,0.745656457845678,cs
computational engineering,8.426395308679181,-0.8680952334898928,cs
computational ethics,5.287966587140917,-1.2724865773162015,cs
computational fluid dynamics,5.949266587319163,-0.8940263877929403,cs
computational framework,5.22851337503411,-2.781972554489125,cs
computational intelligence,5.481619308011171,-2.076674352461411,cs
computational learning theory,8.216277349604306,-1.3739829750550137,cs
computational linguistics,7.5163484442721265,0.004380601498028218,cs
computational materials science,8.072204003389396,-0.8311140958217619,cs
computational mathematics,8.2009280250243,1.0995446286659214,cs
computational models,5.461613245193552,-1.924773681465953,cs
computational morality,3.2334889018642525,-0.5807966910622827,cs
computational neural network models,7.540059497418328,-2.1570503911523478,cs
computational physics,6.795670938700274,0.6247573245495045,cs
computational problems,4.9605532373156125,0.5353124625907951,cs
computational resource,4.768478112861844,-1.7005479627180018,cs
computational resources,4.66638015323362,-2.1080109576267327,cs
computational statistics,6.094804227194997,1.5907086421284853,cs
computational system,4.949881012232236,-1.589499986186466,cs
computationally intractable,-0.3083446638759202,5.993936244683954,cs
compute arithmetic operations,6.2001274650049885,0.9885245204356049,cs
computer architecture,9.058104548536432,-1.0036019957614488,cs
computer code,8.335616461928941,-0.09964903206412067,cs
computer ethics,6.848801783237436,-0.583295772443307,cs
computer games,6.422212156075204,1.5936616601778077,cs
computer graphics,7.173303875239459,-0.9293708550015459,cs
computer hardware unit,6.352831982265541,-0.5453195622939883,cs
computer interaction,7.78600627774878,-2.3942899448502253,cs
computer language,7.58933860244143,-0.6196917460003664,cs
computer learning,8.632364458733646,-0.5518137278912911,cs
computer memory,7.823270004104747,0.771835028371813,cs
computer network,6.998292251435284,-0.921409793719958,cs
computer network architecture,8.521807964150296,-1.8604002199859841,cs
computer processors,8.40903764808334,-0.3732329238583225,cs
computer program,7.770118899982873,-0.1867190163825408,cs
computer program source code,8.541400481896256,-1.8870313841896498,cs
computer programming,9.28203714507863,-0.6031240817083571,cs
computer programs,7.653961247489065,-0.34427328060891704,cs
computer science,8.569338403225187,-0.6096351080561335,cs
computer science fields,8.510466548912717,-1.3285745335043893,cs
computer security,6.332768174832049,-0.8018250617544247,cs
computer skills,6.527518716145312,-1.6105688239571756,cs
computer systems,6.840599410812146,-1.5508112425165066,cs
computer vision,6.944377554526752,-1.22162722531757,cs
computing machinery,6.902251787217089,-1.6958990477154046,cs
computing resources,4.712460604990921,-2.4697488086188524,cs
concurrent pattern calculus,5.427201805162338,0.7632864431730151,cs
conditional expression,-2.059781621017036,2.8109549079650944,cs
confidence score,-5.214107787040892,-1.8021575950227546,cs
conformational analysis,0.8291673906142047,-2.590483978992755,cs
connected wireless device,-0.14779096766874333,-2.0083340715014777,cs
constraint logic programming,6.942500568159188,-0.6721602509040946,cs
constraint programming,5.121208193068043,0.4725008384897859,cs
continuous function,-4.073205187735048,-0.17737116577209666,cs
continuous unimodal function,-3.666785015794245,4.9657517337949955,cs
control theory,2.3513976922453983,-0.48722088029945554,cs
conventional dynamic memory allocation libraries,4.614508644535003,2.4880476062299013,cs
convolutional neural networks,5.156580601028219,-0.5562040413707261,cs
copyright investigation,3.3596532220802064,1.7303221080941913,cs
correlation matrix,0.8460964322491745,-1.018404920448292,cs
cost allocation,0.15782513012463562,-0.4334393090578177,cs
cpu cache,8.133862140876714,1.3220614941996676,cs
cross-correlation matrix,2.8726542389977805,-1.890246339293709,cs
current databases,2.889153899856291,-2.4376455474255176,cs
data compression,3.920632191558696,-0.7506519043444994,cs
data elements,2.684378334022855,-2.5624836490503706,cs
